planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,stellar_temp_k,distance_parsecs,distance_light_years
WTS-1 b,WTS-1,Transit,2012,3.35205700000,16.70000000,1274.44000000,1500.00,6250.00,2346.01000000,7651.65
CoRoT-26 b,CoRoT-26,Transit,2013,4.20474000000,14.12000000,165.26000000,1600.00,5590.00,1045.18000000,3408.92
CoRoT-25 b,CoRoT-25,Transit,2013,4.86069000000,12.11000000,85.81000000,1330.00,6040.00,1103.48000000,3599.07
Kepler-186 b,Kepler-186,Transit,2014,3.88679070000,1.07000000,1.24000000,571.00,3788.00,177.59400000,579.23
Kepler-27 c,Kepler-27,Transit,2011,31.33090000000,4.90000000,4385.87000000,481.00,5400.00,1044.36000000,3406.24
Kepler-27 b,Kepler-27,Transit,2011,15.33480000000,4.00000000,2895.31000000,610.00,5400.00,1044.36000000,3406.24
Kepler-186 d,Kepler-186,Transit,2014,13.34299600000,1.40000000,2.54000000,379.00,3788.00,177.59400000,579.23
Kepler-11 d,Kepler-11,Transit,2010,22.68450000000,3.12000000,7.30000000,653.00,5663.00,646.34600000,2108.1
Kepler-11 b,Kepler-11,Transit,2010,10.30390000000,1.80000000,1.90000000,849.00,5663.00,646.34600000,2108.1
Kepler-31 c,Kepler-31,Transit,2011,42.63180000000,5.30000000,1493.70000000,615.00,6340.00,1664.64000000,5429.32
Kepler-32 c,Kepler-32,Transit,2011,8.75220000000,2.00000000,158.90000000,451.00,3900.00,323.84700000,1056.25
Kepler-1735 b,Kepler-1735,Transit,2021,7.71792984000,1.19429134,1.84000000,502.00,3975.00,245.30300000,800.07
GU Psc b,GU Psc,Imaging,2014,,14.17900000,3591.30000000,1050.00,4031.81,47.55010000,155.09
Kepler-32 d,Kepler-32,Transit,2012,22.78020000000,2.70000000,39.90890000,328.00,3900.00,323.84700000,1056.25
Kepler-31 d,Kepler-31,Transit,2014,87.64510000000,3.90000000,2161.24400000,484.00,6340.00,1664.64000000,5429.32
HAT-P-45 b,HAT-P-45,Transit,2014,3.12899200000,15.98400000,283.49200000,1652.00,6330.00,298.64000000,974.03
HAT-P-44 b,HAT-P-44,Transit,2014,4.30121900000,13.92200000,111.87100000,1108.00,5295.00,347.85000000,1134.53
HAT-P-27 b,HAT-P-27,Transit,2011,3.03957700000,11.43000000,197.05000000,1091.99,5316.00,199.17300000,649.61
Kepler-31 b,Kepler-31,Transit,2011,20.86130000000,5.50000000,36.74180000,781.00,6340.00,1664.64000000,5429.32
Kepler-32 f,Kepler-32,Transit,2012,0.74296000000,0.82000000,969.22800000,1026.00,3900.00,323.84700000,1056.25
Kepler-134 c,Kepler-134,Transit,2014,10.10578500000,1.26000000,2.13000000,892.00,5983.00,334.79700000,1091.96
Kepler-210 b,Kepler-210,Transit,2014,2.45323400000,2.94000000,8.96000000,737.00,4559.00,232.75000000,759.13
Kepler-422 b,Kepler-422,Transit,2014,7.89144830000,12.89000000,136.66000000,1028.00,5972.00,722.79500000,2357.44
Kepler-426 b,Kepler-426,Transit,2014,3.21751883000,12.22000000,108.06000000,1300.00,5725.00,843.69500000,2751.76
KOI-94 d,KOI-94,Transit,2013,22.34298900000,11.27000000,106.00000000,806.00,6182.00,477.05200000,1555.93
KOI-94 b,KOI-94,Transit,2013,3.74320800000,1.71000000,10.50000000,1486.00,6182.00,477.05200000,1555.93
Kepler-415 c,Kepler-415,Transit Timing Variations,2014,8.70800000000,2.01000000,4.70000000,543.00,4362.00,530.48700000,1730.22
Kepler-428 b,Kepler-428,Transit,2014,3.52563254000,12.11000000,403.63000000,1070.00,5150.00,686.28400000,2238.36
Kepler-425 b,Kepler-425,Transit,2014,3.79701816000,10.96200000,79.45000000,1070.00,5170.00,646.64700000,2109.08
WASP-70 A b,WASP-70 A,Transit,2014,3.71302030000,13.04700000,187.51200000,1387.00,5763.00,222.35500000,725.22
KOI-94 e,KOI-94,Transit,2013,54.32031000000,6.56000000,35.00000000,584.00,6182.00,477.05200000,1555.93
Kepler-396 c,Kepler-396,Transit,2013,88.50500000000,5.30000000,17.90000000,390.00,5656.00,223.75700000,729.8
Kepler-122 f,Kepler-122,Transit Timing Variations,2014,56.26800000000,1.75000000,36.00000000,543.00,5917.00,1027.45000000,3351.09
Kepler-96 b,Kepler-96,Transit,2014,16.23850000000,2.67000000,8.46000000,711.00,5690.00,122.88100000,400.78
KOI-13 b,KOI-13,Transit,2011,1.76358800000,16.94800800,2949.46240000,2550.00,7650.00,519.09600000,1693.06
Kepler-17 b,Kepler-17,Transit,2011,1.48571080000,14.68000000,778.65000000,1570.00,5781.00,720.75300000,2350.78
TOI-7510 d,TOI-7510,Transit,2025,48.86446800000,10.52000000,190.00000000,542.40,5720.00,249.00600000,812.15
CoRoT-23 b,CoRoT-23,Transit,2011,3.63130000000,11.77000000,889.90000000,1660.00,5900.00,1060.97000000,3460.42
Kepler-414 c,Kepler-414,Transit Timing Variations,2014,7.17100000000,3.01000000,29.90000000,890.00,5536.00,413.46000000,1348.52
HD 3167 e,HD 3167,Radial Velocity,2022,96.63000000000,2.83000000,8.41000000,374.80,5261.00,47.28990000,154.24
Kepler-42 c,Kepler-42,Transit,2011,0.45328509000,0.73000000,60.33700000,720.00,3068.00,40.05950000,130.66
Kepler-33 c,Kepler-33,Transit,2011,13.17562000000,3.20000000,0.39000000,1009.00,5904.00,1209.16000000,3943.75
Kepler-641 b,Kepler-641,Transit,2016,9.48961571000,1.85000000,4.08000000,926.00,5713.00,969.91800000,3163.45
Kepler-410 A b,Kepler-410 A,Transit,2013,17.83364800000,2.83800000,8.44000000,866.00,6273.00,147.52700000,481.17
Kepler-314 c,Kepler-314,Transit,2014,5.96039200000,2.90000000,8.75000000,890.00,5378.00,268.88100000,876.97
Kepler-415 b,Kepler-415,Transit Timing Variations,2014,4.17600000000,1.21000000,119.90000000,694.00,4362.00,530.48700000,1730.22
Kepler-338 e,Kepler-338,Transit Timing Variations,2014,9.34100000000,1.56000000,8.50000000,1143.00,5999.00,552.79800000,1802.98
Kepler-33 e,Kepler-33,Transit,2011,31.78440000000,4.02000000,5.57000000,752.00,5904.00,1209.16000000,3943.75
Kepler-33 b,Kepler-33,Transit,2011,5.66793000000,1.74000000,3.68000000,1336.00,5904.00,1209.16000000,3943.75
Kepler-46 c,Kepler-46,Transit Timing Variations,2012,57.01100000000,13.50000000,119.49900000,455.00,5155.00,777.06000000,2534.43
Kepler-318 b,Kepler-318,Transit,2014,4.66271500000,4.71000000,19.90000000,1039.00,5746.00,489.14100000,1595.36
Kepler-314 b,Kepler-314,Transit,2014,2.46106900000,0.83000000,0.49800000,1195.00,5378.00,268.88100000,876.97
Kepler-46 b,Kepler-46,Transit,2012,33.60134000000,9.05700000,1907.00000000,543.00,5155.00,777.06000000,2534.43
Kepler-130 c,Kepler-130,Transit,2014,27.50868000000,2.90000000,8.75000000,683.00,5879.00,316.66300000,1032.82
Kepler-418 b,Kepler-418,Transit,2014,86.67856000000,13.45000000,349.61124770,434.00,5820.00,1002.53000000,3269.81
Kepler-33 f,Kepler-33,Transit,2011,41.02902000000,4.46000000,9.60000000,691.00,5904.00,1209.16000000,3943.75
Kepler-33 d,Kepler-33,Transit,2011,21.77596000000,5.35000000,3.91000000,853.00,5904.00,1209.16000000,3943.75
Kepler-52 b,Kepler-52,Transit,2012,7.87735650000,2.10000000,135.00000000,553.00,4075.00,321.54200000,1048.73
Kepler-58 b,Kepler-58,Transit,2012,10.21849540000,2.78000000,35.50000000,920.00,5843.00,969.25200000,3161.27
