planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,stellar_temp_k,distance_parsecs,distance_light_years
Kepler-1167 b,Kepler-1167,Transit,2016,1.00393373900,1.71000000,3.57000000,1419.00,4971.00,820.90500000,2677.43
Kepler-1740 b,Kepler-1740,Transit,2021,8.17240047500,3.32321414,11.00000000,858.00,5705.00,1061.77000000,3463.03
Kepler-1581 b,Kepler-1581,Transit,2016,6.28385491000,0.80000000,0.43700000,1108.00,6022.00,493.17500000,1608.52
Kepler-644 b,Kepler-644,Transit,2016,3.17391710300,3.15000000,10.10000000,1655.00,6747.00,1318.05000000,4298.9
Kepler-1752 b,Kepler-1752,Transit,2021,56.35850143000,4.54060463,18.70000000,419.00,5446.00,962.88800000,3140.52
Kepler-280 c,Kepler-280,Transit,2014,4.80709100000,2.01000000,4.70000000,1088.00,5744.00,780.36100000,2545.19
Kepler-1208 b,Kepler-1208,Transit,2016,11.08507637000,2.32000000,5.99000000,665.00,5001.00,825.17600000,2691.36
Kepler-263 c,Kepler-263,Transit,2014,47.33277300000,2.47000000,6.66000000,386.00,5265.00,754.74700000,2461.65
Kepler-1101 b,Kepler-1101,Transit,2016,81.31510590000,2.47000000,6.66000000,393.00,5614.00,742.47300000,2421.62
HD 168746 b,HD 168746,Radial Velocity,2002,6.40400000000,11.10000000,85.81410000,900.00,5570.00,41.56810000,135.58
Kepler-560 b,Kepler-560,Transit,2016,18.47764449000,1.72000000,3.61000000,298.00,3556.00,109.30800000,356.51
Kepler-150 d,Kepler-150,Transit,2014,12.56093000000,2.79000000,8.20000000,734.00,5560.00,891.09200000,2906.35
Kepler-498 b,Kepler-498,Transit,2016,9.61375356000,3.03000000,9.43000000,931.00,5744.00,938.84400000,3062.1
Kepler-817 b,Kepler-817,Transit,2016,3.99010622900,9.03000000,60.20000000,1124.00,5861.00,1484.46000000,4841.66
Kepler-937 b,Kepler-937,Transit,2016,67.66882700000,3.72000000,13.40000000,495.00,6095.00,1571.46000000,5125.41
K2-10 b,K2-10,Transit,2015,19.30553000000,3.77300000,25.20000000,649.00,5533.00,272.36000000,888.32
Kepler-571 b,Kepler-571,Transit,2016,4.79859938800,2.64000000,7.46000000,978.00,5527.00,723.87500000,2360.96
Kepler-1458 b,Kepler-1458,Transit,2016,47.98727640000,2.76000000,8.05000000,493.00,5653.00,544.45000000,1775.76
K2-335 b,K2-335,Transit,2021,12.28321100000,2.21000000,5.52000000,949.00,6222.00,557.99300000,1819.93
Kepler-1600 c,Kepler-1600,Transit,2021,7.29804992700,1.94206512,4.43000000,786.00,5119.00,1030.81000000,3362.05
Kepler-221 d,Kepler-221,Transit,2014,10.04156000000,2.73000000,3.61000000,712.00,5243.00,385.23100000,1256.45
Kepler-626 b,Kepler-626,Transit,2016,14.48585199000,2.29000000,5.86000000,784.00,5813.00,635.64300000,2073.19
Kepler-1549 b,Kepler-1549,Transit,2016,214.88654500000,2.57000000,7.13000000,286.00,5324.00,803.05200000,2619.2
K2-62 c,K2-62,Transit,2016,16.19697000000,1.99000000,4.62000000,495.00,4455.00,112.46700000,366.82
Kepler-1149 b,Kepler-1149,Transit,2016,3.73089898000,1.44000000,2.67000000,1128.00,5833.00,1217.73000000,3971.7
Kepler-1288 b,Kepler-1288,Transit,2016,2.76122421000,1.12000000,1.46000000,2017.00,6132.00,814.07800000,2655.16
Kepler-128 b,Kepler-128,Transit,2013,15.00000000000,1.42100000,3.79000000,968.00,6072.00,396.37900000,1292.81
Kepler-1245 b,Kepler-1245,Transit,2016,4.35409304000,1.44000000,2.67000000,1043.00,5306.00,805.93600000,2628.61
Kepler-1068 b,Kepler-1068,Transit,2016,16.92344113000,3.63000000,12.80000000,702.00,5806.00,1473.61000000,4806.27
Kepler-311 c,Kepler-311,Transit,2014,19.73828600000,1.43000000,2.63000000,744.00,5905.00,778.65400000,2539.63
Kepler-150 e,Kepler-150,Transit,2014,30.82655700000,3.12000000,9.91000000,544.00,5560.00,891.09200000,2906.35
Kepler-272 c,Kepler-272,Transit,2014,6.05734200000,1.79000000,97.80000000,947.00,5297.00,889.60800000,2901.51
Kepler-152 c,Kepler-152,Transit,2014,88.25505500000,2.39000000,6.30000000,326.00,5088.00,441.09000000,1438.64
Kepler-1506 b,Kepler-1506,Transit,2016,14.03291540000,1.32000000,2.30000000,783.00,5676.00,2366.02000000,7716.92
CoRoT-3 b,CoRoT-3,Transit,2008,4.25680000000,11.32000000,6883.91000000,1695.00,6740.00,768.77100000,2507.39
NGTS-10 b,NGTS-10,Transit,2020,0.76689440000,13.50684500,687.14846000,1332.00,4600.00,324.69865036,1059.02
GQ Lup b,GQ Lup,Imaging,2004,,33.60000000,6356.00000000,2650.00,4360.00,151.16900000,493.05
HD 3167 b,HD 3167,Transit,2016,0.95964100000,1.67000000,4.97000000,1774.00,5261.00,47.28990000,154.24
CoRoT-17 b,CoRoT-17,Transit,2011,3.76810000000,11.43000000,772.29000000,1626.00,5740.00,1176.12000000,3835.99
HD 3167 c,HD 3167,Transit,2016,29.84540000000,3.00000000,11.13000000,564.00,5261.00,47.28990000,154.24
Kepler-595 c,Kepler-595,Transit,2020,12.38602000000,1.00900000,3.30000000,679.00,5138.50,643.00900000,2097.21
Kepler-595 b,Kepler-595,Transit,2016,25.30290920000,3.70800000,17.40000000,535.00,5138.50,643.00900000,2097.21
OGLE-TR-111 b,OGLE-TR-111,Transit,2004,4.01444630000,11.42197100,174.79900000,1019.00,5040.00,1068.33000000,3484.42
CoRoT-18 b,CoRoT-18,Transit,2011,1.90006930000,14.68000000,1102.82000000,1550.00,5440.00,764.88900000,2494.73
Kepler-45 b,Kepler-45,Transit,2011,2.45523900000,10.76000000,160.49700000,1000.00,3820.00,381.94900000,1245.75
WASP-23 b,WASP-23,Transit,2010,2.94442560000,10.78300000,280.95000000,1076.55,5150.00,207.49000000,676.74
OGLE-TR-211 b,OGLE-TR-211,Transit,2007,3.67724000000,15.24400000,327.35100000,1686.00,6325.00,1515.26000000,4942.11
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,Microlensing,2005,3285.00000000000,2.21000000,5.50000000,50.00,,6600.00000000,21526.3
